2025-05-23 09:21:14,223 - NavalDesignSystem - INFO - ビューの非同期初期化を開始
2025-05-23 09:21:22,203 - controllers.app_controller - INFO - 国家情報の取得を開始: MODパス=/Users/eightman/Documents/Paradox Interactive/Hearts of Iron IV/mod/SSW_mod
2025-05-23 09:21:22,203 - controllers.app_controller - INFO - 国家タグファイルを処理中: /Users/eightman/Documents/Paradox Interactive/Hearts of Iron IV/mod/SSW_mod/common/country_tags/zzz_default_countries.txt
2025-05-23 09:21:22,206 - controllers.app_controller - INFO - 国家情報を追加: TAG=ABK, 名前=アブハジア
2025-05-23 09:21:22,206 - controllers.app_controller - INFO - 国家情報を追加: TAG=ALT, 名前=アルタイ
2025-05-23 09:21:22,206 - controllers.app_controller - INFO - 国家情報を追加: TAG=BAN, 名前=バングラデシュ
2025-05-23 09:21:22,206 - controllers.app_controller - INFO - 国家情報を追加: TAG=BHU, 名前=ブータン
2025-05-23 09:21:22,206 - controllers.app_controller - INFO - 国家情報を追加: TAG=BRM, 名前=ビルマ
2025-05-23 09:21:22,206 - controllers.app_controller - INFO - 国家情報を追加: TAG=BUK, 名前=ブハラ
2025-05-23 09:21:22,206 - controllers.app_controller - INFO - 国家情報を追加: TAG=BYA, 名前=ブリヤート
2025-05-23 09:21:22,206 - controllers.app_controller - INFO - 国家情報を追加: TAG=CAM, 名前=カンボジア
2025-05-23 09:21:22,207 - controllers.app_controller - INFO - 国家情報を追加: TAG=CHI, 名前=中華
2025-05-23 09:21:22,207 - controllers.app_controller - INFO - 国家情報を追加: TAG=CKK, 名前=チュクチ
2025-05-23 09:21:22,207 - controllers.app_controller - INFO - 国家情報を追加: TAG=FAE, 名前=極東
2025-05-23 09:21:22,207 - controllers.app_controller - INFO - 国家情報を追加: TAG=FIJ, 名前=フィジー
2025-05-23 09:21:22,207 - controllers.app_controller - INFO - 国家情報を追加: TAG=FSM, 名前=ミクロネシア
2025-05-23 09:21:22,207 - controllers.app_controller - INFO - 国家情報を追加: TAG=GUM, 名前=グアム
2025-05-23 09:21:22,207 - controllers.app_controller - INFO - 国家情報を追加: TAG=GXC, 名前=広西
2025-05-23 09:21:22,207 - controllers.app_controller - INFO - 国家情報を追加: TAG=HAW, 名前=ハワイ
2025-05-23 09:21:22,208 - controllers.app_controller - INFO - 国家情報を追加: TAG=IND, 名前=インド
2025-05-23 09:21:22,208 - controllers.app_controller - INFO - 国家情報を追加: TAG=INS, 名前=インドネシア
2025-05-23 09:21:22,208 - controllers.app_controller - INFO - 国家情報を追加: TAG=JAP, 名前=日本
2025-05-23 09:21:22,208 - controllers.app_controller - INFO - 国家情報を追加: TAG=KAZ, 名前=カザフスタン
2025-05-23 09:21:22,208 - controllers.app_controller - INFO - 国家情報を追加: TAG=KHA, 名前=ハカス
2025-05-23 09:21:22,208 - controllers.app_controller - INFO - 国家情報を追加: TAG=KHI, 名前=ヒヴァ
2025-05-23 09:21:22,208 - controllers.app_controller - INFO - 国家情報を追加: TAG=KKP, 名前=カラカルパクスタン
2025-05-23 09:21:22,208 - controllers.app_controller - INFO - 国家情報を追加: TAG=KOR, 名前=韓
2025-05-23 09:21:22,208 - controllers.app_controller - INFO - 国家情報を追加: TAG=KYR, 名前=キルギス
2025-05-23 09:21:22,208 - controllers.app_controller - INFO - 国家情報を追加: TAG=LAO, 名前=ラオス
2025-05-23 09:21:22,208 - controllers.app_controller - INFO - 国家情報を追加: TAG=MAL, 名前=マラヤ
2025-05-23 09:21:22,209 - controllers.app_controller - INFO - 国家情報を追加: TAG=MAN, 名前=満州
2025-05-23 09:21:22,209 - controllers.app_controller - INFO - 国家情報を追加: TAG=MEN, 名前=蒙古
